Account,Display Name,Example Series Names,Pattern Types Matched,Occurrences,Distinct Posts
livegoodsoil,GOOD SOIL™,OPEN MIC NIGHT; BLACK ANCHOR; Dream City Convos; July events; Dream City Convos meetup,repeated branded name,294,19
sound.wavfest,Sound.wav Music Festival,Fall Frequencies II; Sound.wav Music and Arts Festival; Road to Sound.wav; Bass Lab; Danger,repeated branded name,293,15
madebysmith_,Smith,Gift Card Promotion,repeated branded name,292,2
deltas99,Delta's NB,Live Band Performances; First Fridays; Live Band Performance; Christmas Day; New Year's Day,"day-of-week plural, repeated branded name",292,14
thejerseyygirlguide,The Jersey Girl Guide,Live jazz music; Live music; $50 Gift Card Giveaway; Giveaway; $25 Gift Card Giveaway,repeated branded name,291,29
villagebrewingcompany,Village Brewing Company,TRIVIA NIGHT; KIDS EAT FREE WEDNESDAYS; FRIDAYS AT THE UNDERGROUND; UNDERGROUND FRIDAYS; UNDERGROUND SATURDAYS,"day-of-week plural, repeated branded name",290,28
cremetruck,CREMETRUCK,SING ALONG THURSDAYS; ONE NIGHT BY ARABIAN - FRIDAYS; ONE NIGHT BY ARABIAN - SATURDAYS; Afrobeats & amapiano party; Saturday Brunch,"day-of-week plural, repeated branded name",282,17
ndo_champ,Robert Wilmote,Afro Taco Food Truck; 5th Annual Cleveland All-Star Fitness Expo; 6-Week Rebirth Training Program; REBIRTH EXPERIENCE VIP SESSION,repeated branded name,281,45
labxnj,Lab X by Xperience,ARABIAN NIGHTS; Grand Opening Celebration; Steak Night; Holiday Parties; New Years Eve First Annual Celebration,"recurrence keyword, repeated branded name",278,22
openheartpoetry__,𝐀 𝐔𝐧𝐢𝐪𝐮𝐞 𝐂𝐡𝐫𝐢𝐬𝐭𝐢𝐚𝐧 𝐎𝐩𝐞𝐧 𝐌𝐢𝐜 𝐄𝐧𝐜𝐨𝐮𝐧𝐭𝐞𝐫,OPEN HEART POETRY OPEN MIC; CHRISTIAN OPEN MIC ENCOUNTER; CHRISTIAN OPEN MIC; OPEN HEART POETRY; PROPHETIC WORSHIP NIGHTS,"recurrence keyword, repeated branded name",277,66
therealbridgetstuart,Bridget Stuart | Strategic Performance Coach,The Inner Estate Podcast: Special Holiday Episode; Emotional Housekeeping: What Not to Carry Into 2026; Real Estate License Anniversary; the Inner estate PODCAST; The Inner Estate Podcast Episode 63: The Year You Thought You Wanted VS. The Year You Actually Needed,"recurrence keyword, repeated branded name",276,48
bks.social,Best Kept Secret,Sing & Sip; Nightcap; Classic & Friends; Denim in Rhythm; SWIPE RIGHT IRL,repeated branded name,276,13
4loversonly.us,4 Lovers Only,A NIGHT OF R&B; Night Of R&B; A Night Of R&B; Wednesday Night Event; Wednesday Night event,repeated branded name,276,31
bigsmart__,Joseph oche udeh,GADA Awards 2025; BIG SMART FESTIVE DATES,repeated branded name,275,13
iambyhaze,BYHAZE,SOUNDBATH SERIES; Clovis Lane Album + Film Release Party; Clovis Lane Film Screening; Clovis Lane Album Release; Clovis Lane Release,"recurrence keyword, repeated branded name",274,19
bintin_lion,Nurse Bintin 🇳🇬🇺🇲 🧪💊💉,40th Birthday Celebration; LAGOS PARTY DIASPORA'S NIGHT; Detty December Diaspora Nights; LAGOS PARTY DIASPORA'S FEST; LAGOS PARTY Diaspora’s Night,"recurrence keyword, repeated branded name",274,11
raysouladventures,RaySoul Adventures,HIGH VIBE HIKE; OFFICE HOURS AT ELITIST COFFEE; GLASSBLOWING SOCIAL; MOTHERS & DAUGHTERS HIKE; WELLNESS DAY AT LAVENDER FARM,repeated branded name,272,16
newarkdowntowndistrict,Newark Downtown District,PARKLET PROGRAM SEASON; Jewel Box Jams: Holiday Edition; Lunchtime Jewel Box Jams at Gateway; Jewel Box Jams at Gateway Junction; Jewel Box Jams,"recurrence keyword, repeated branded name",271,8
justasia,Sha-Asia Jerez New Jersey Realtor 🇭🇹🇨🇺🇹🇹,FLAVA IN YA EAR R&B AND HIP HOP BINGO; FLAVA IN YA EAR: R&B AND HIP HOP BINGO; ROC THE MIC BRUNCH with @shevybaybeee x GIVE BACK DRIVE; Venue Hours: Wednesday; Venue Hours: Thursday,repeated branded name,270,28
therealcarvell,OFFICIAL PAGE | Carvell,PORT TAVERN; BETTER WITH TIME; AFTER 9; Thanksgiving Eve Party; Guilty Pleasure Party,"day-of-week plural, repeated branded name",269,12
plusable_pr,PLUSABLE,SAVOR NEWARK PODCAST EPISODE RELEASE; BRICK CITY FIGHT NIGHT SERIES; SAVOR NEWARK 2026: THE CULINARY CUP; FIFA WORLD CUP 2026; Savor Newark 2026: The Culinary Cup - United at the Table Symposium,"recurrence keyword, repeated branded name",268,49
ditchdayphl,Ditch Day PHL,DITCH & SPLASH; Holi-DITCH Day; Ditch Day; Ditch Day PHL Event; Holi-Ditch Day PHL After Party,"recurrence keyword, repeated branded name",266,42
jeanv_186,,AFRO-CARIBBEAN NIGHT: DANCEHALL VS; SILENT HEADPHONE PARTY; AFRO-CARIBBEAN NIGHT — 1 YEAR ANNIVERSARY!; Afro-Caribbean Night; Afro-Caribbean Night Guestlist Deadline,repeated branded name,266,53
mroctober357,Bank Boy Sillz,Bounce That Ass Just Like Your Friend; The Night Belong To Maxx; New Year New Sh!t; The New Blue Presents; Putting Ya Dine,repeated branded name,264,5
monmouthdognj,Dog Friendly Central NJ,SEASON OPENING WEEKENDS; WEEKLY FUN AT HEAVY REEL; Brie presents: a dog friendly brewery!; Icarus Brewing 9-year Anniversary; Dog friendly outdoor seating,"recurrence keyword, repeated branded name",264,29
nybrazilianfilmseries,Roger Costa,ELIS & EU - NY BRAZILIAN FILM SERIES; 5th NY BRAZILIAN FILM SERIES; 5th NY Brazilian Film Series; NY BRAZILIAN FILM SERIES; Floral Art Show,"recurrence keyword, repeated branded name",261,8
townsocial,Town Social,"MOCHACON; Town Social Tours; SELF CARE CRAWL; High Tea ""A Luxury Day Trip - Celebrating Black Ownership, Elegance, & Excellence""; Mocha Monday Meet Up",repeated branded name,261,47
evoluculture,EvoluCulture Ventures LLC,EVOLUTION DOPEN MIC; KARAOKE THERAPY W/ INDIA ARIE; Evolution DopenMic; February 15th event; Evolution Dopen Mic,repeated branded name,256,47
fivecornersnewark,Five Corners Ristorante,HAPPY HOUR; Thanksgiving Eve Happy Hour; Happy Hour for Newark Photographers and Creatives; Drink Specials with Pinhook Bourbon & Giffard; Spirits & Company Drink Specials w/ Pinhook Bourbon & Giffard Liqueurs,repeated branded name,252,11
chewnviewnj,Chew & View,HOME ALONE Dinner & Movie Experience; How The Grinch Stole Christmas Movie Screening & Dinner; ELF Chew & View; The Little Mermaid Dinner & Movie Experience; MATILDA ULTIMATE DINNER & MOVIE EXPERIENCE,repeated branded name,252,25
thebradfordnj,The Bradford,LIVE MUSIC THURSDAYS; LIVE MUSIC FRIDAYS; LIVE MUSIC SATURDAYS; LIVE MUSIC SUNDAYS; Bottomless Brunch Cocktails,"day-of-week plural, repeated branded name",250,42
kompaville,Kompaville🇭🇹,DJ HEAVY BIRTHDAY EXTRAVAGANZA; KOMPAVILLE TIMES SQUARE INVASION; KOMPAVILLE A DELUXE KOMPA SERIES; KOMPA EN KEYS; DELUXE KOMPA SEIRES,"recurrence keyword, repeated branded name",249,63
fwc26nj,World Cup Corner New Jersey,"Muralists @knodtheartist & @torch.fuego speak about World Cup Corner, graffiti art, and their passions to instill creativity and inspiration into their hometown; World Cup Corner community art activation; WORLD CUP CORNER Mural Unveiling; WORLD CUP CORNER BRUNCH; Den of Lions SC soccer exhibition",repeated branded name,248,4
downtownhaddonfield,Downtown Haddonfield,Candlelight Shopping,repeated branded name,248,1
fromplate2palette,From Plate To Palette,PIZZA SERIES - PART 1: BAR PIES; Soul food; $2 off empanadas; Brunch,"recurrence keyword, repeated branded name",247,6
ahpgallery,The Art House Gallery,GALLERY VIEWING - SATURDAYS; GALLERY VIEWING - SUNDAYS; The 8th Annual Affordable Art Show; Public Opening Reception; Closing Reception,"day-of-week plural, repeated branded name",244,5
bricknkulture,BricknKulture Event Space,OPEN MIC NIGHTS; Blend & Sip; Coffee & Construction: Women Who Build the Future; Rise & Flow Yoga; THE BIG CHRISTMAS Party,"recurrence keyword, repeated branded name",244,25
tnmediainc,TEAMNORIE,GIRLS LOVE THURSDAYS; FRIDAYS AT JOUVAY; FRIDAYS @ JOUVAY NIGHTCLUB; GIRLS LOVE R&B & TUNES; New Year’s Eve 2026 – Toast to Greatness,"day-of-week plural, repeated branded name",244,13
juicingwithsamirallc,📍JERSEY CITY |  EST’20 | DR.SEBI ALKALINE APPROVED⚡️PH +7 🧬🌿🌀,EO Run Club Meetup; EO Family Meetup; Immunity Kit Order; Juicing with Samira at Alkofeia Restaurant; Strawberry Lord Juice,repeated branded name,243,19
cafe_by_us,Where Love Brews!!,EORC meet-up; Professional Photoshoot with Shon Frames; Matcha Mondays; CHAT & CHEW Strength & Unity; MEN’S MONTHLY MEETING,"day-of-week plural, repeated branded name",242,10
brownmillcompany,BrownMill Company,BrownMill Black History Month Collection Launch; Night at Dumbo; BrownMill Company Restock; Think Bigger Sale; Philadelphia Eagles Hall of Fame Induction Celebration Release,repeated branded name,241,14
exploremillburnshorthills,Explore Millburn-Short Hills,Bachata lesson; Salsa lesson; Social Dance; Dance Lessons w/ NJ Salsa,repeated branded name,241,2
iputonagency,𝓲𝓟𝓾𝓽𝓞𝓷™️,Sewing Workshop,repeated branded name,241,3
qraftyq,Quiahna | Custom Crafter | Shirt Girl,LOOPS & LATTES; LOOPS & LATTES WORKSHOP; Friendsgiving; Cozy in Cranberry Friendsgiving; The Event,repeated branded name,240,32
southhousejc,SOUTH HOUSE,DJ TIZZY TURNUP SUNDAYS; Thanksgiving Dinner; Thanksgiving PRIX-FIXE MENU; Private Event; Happy Hour and Regular Dinner/Bar Service,"day-of-week plural, repeated branded name",240,14
grindcoffeejc,THE GRIND SHOP,Thanksgiving Holiday Hours; Black Friday Holiday Hours; RUNSGIVING 5k run; RUNSGIVING; Santa's Workshop Experience,repeated branded name,240,6
savornewark,Savor Newark ™,SAVOR NEWARK 2026: THE CULINARY CUP; SAVOR NEWARK 2026: CULINARY CUP; Savor Newark 2026; Bacon and egg on a bagel; The Culinary Cup,repeated branded name,238,33
theisaiahfuller,Isaiah Fuller,TAFT: For The People Tour,repeated branded name,238,1
consiglierewine,Consigliere,SMOOTH SATURDAY; Wine Down; New Year’s Celebration; Smooth Saturday; Consigliere Capsule 001 — The Essentials,repeated branded name,237,24
muchbetterstudios,Much Better Studios ™ 🚀,Young Men’s Gathering; Young Men Gathering; Young Men's Empowerment Gathering; Trenton Holiday Scavenger Hunt; Trenton Holiday Bar Crawl,repeated branded name,236,8
elpueblounidoac,El Pueblo Unido of Atlantic City,ICE Enforcement Activity; Possible ICE Enforcement Activity; ICE Activity Monitoring; Donation Drop-off for Community Member; Baby's birth without father present,repeated branded name,235,33
worldabovepoetry,World Above Reading Series,WORLD ABOVE READING SERIES; World Above Poetry Reading; World Above Open Mic Reading Series; World Above Poetry Open Mic; World Above Wednesday,"recurrence keyword, repeated branded name",234,6
amanda_auble,Amanda Auble,LIFE DRAWING; LIFE DRAWING SESSION; Portrait Workshops; portrait painting class; portrait of @daragnbxox ( 5 hours alla prima),repeated branded name,234,11
breaktheicetour,LET’S BREAK THE ICE 🧊⚒️,"Break The Ice Tour; Five-Day Experience In Los Angeles, CA; Break The Ice Tour Presents Destination Los Angeles; Five-Day Experience In Los Angeles; Los Angeles Experience",repeated branded name,232,10
culturecentral_,Culture Central™️,"BIG DRIVE NEW SEASON; ABBOTT ELEMENTARY SEASON 6; Megan Thee Stallion provided full meals for 2,000 families in Texas who didn't have food for Thanksgiving this year; DeVonta Smith engagement to Mya; Curtti Magurtti's 2nd Birthday","recurrence keyword, repeated branded name",231,22
ab_gotti,COMMA CRAZY CLOTHING ©️©️,CLUB HARMONY; CLUB 111 GRAND OPENING; EVERY FRIDAY AT CLUB 111; CLUB 111 WEEKLY EVENT; CLUB 111 FRIDAYS,"day-of-week plural, recurrence keyword, repeated branded name",230,16
goodfellasco,The Goodfellas Co. 🕊,Pierre Toussaint Food Pantry Operation; Henny Day; Ugly Sweater Holiday Party; Ugly Sweater Party; Ugly Christmas Sweater Party,repeated branded name,229,14
lynnhazan_,Lynn Hazan-Bush,Tree Lighting; Happy Holiday Market; Holiday Market,repeated branded name,228,3
neighborsstudio__,NEIGHBORS,NEIGHBORS event sponsored by Coca-Cola; Jersey City Elections; Thanksgiving; NYE Party; NYE Early Bird Tickets,repeated branded name,226,28
palladiumlatinevents,Palladium Latin Events,SALSA NIGHT; SALSA CLASS; REY RUIZ IN NJ; Bachata Night; Salsa Caleña Night,repeated branded name,226,24
ugowentthere,Ugo | Jersey & Travel Creator,WORK AND WANDER SERIES LAUNCH; Farmers Market; Dream 360 Grand Opening; Friendsgiving; Work and Wander series - Lambertville,"recurrence keyword, repeated branded name",226,19
_upscalemotion,Upscale Motion 😵‍💫,DRINKO DE MAYO BRUNCH; Drinks-giving : RnB Edition; J5 Founders Day Celebration; How The Baddies Stole Christmas; Twerk Contest,repeated branded name,225,20
theselfiestudioexperience,TheSelfieStudioExperience,Holiday Photos with Santa; Mrs. Claus Kitchen; General Admission; Large Groups Admission; Visit The Selfie Studio Experience,repeated branded name,224,7
blackpopparty,BLACK POP,Rochelle Jordan concert afterparty; Black Pop; BLACK POP NYC; BLACK POP Party; Black Pop Party,repeated branded name,221,10
mlt_series,Moments Like This,BROWN SUGAR BRUNCH; MOMENTS LIKE THIS BRUNCH; Anthems After Dark; OVO Night; CINCO DE MAYO & FRIENDS,repeated branded name,220,14
afrobeatweds,Afrobeat Wednesdays,AFROBEATS WEDNESDAYS; AFROBEAT WEDNESDAYS - GHANA INDEPENDENCE CELEBRATION; AFROBEAT WEDNESDAYS; AFROBEAT WEDNESDAYS 4 YEAR ANNIVERSARY; Afrobeats Wednesday Special,"day-of-week plural, repeated branded name",220,13
moods.and.melodies,Moods and Melodies,FRIENDSGIVING NIGHTCAP; The Nightcap; The Nightcap: Friendsgiving Edition,repeated branded name,218,4
neptunesbar_grill,Neptunes Bar & Grill,"Six-Seven Happy Hour; Monday Night Football; $1 Wings, $8 Henny Punches, $25 Hookah; Tacos and Tequila; KICKBACK",repeated branded name,218,8
djtimvu,𝖙𝖎𝖒 𝖛𝖚 🔗,Sound Grid Events; SHOWS PLAYED; EVENTS CREATED; VENUES WORKED AT; SOUND GRID EVENTS,repeated branded name,217,6
galleryretail,galleryretail,OPEN DECK NIGHT; HALSEY BOP; POPIDO + FRIENDS; Members Only Happy Hour; MOHH WEDNESDAY - JUST POPIDO!,"day-of-week plural, repeated branded name",217,7
wedbynorm,"Norman I. Graham, Award Winning Wedding Officiant",2026 Wedding Ceremony; 2027 Wedding Ceremony; The After “I Do” Experience; Raven Davis wedding ceremony; Christmas,repeated branded name,216,9
expressions33,Kimberly D. Williams,Traveling Sista Circle Society Event; 3rd Annual Galentine’s Bestie Brunch; Welcoming Essence Williams to FARMASI; Galentine's Bestie Brunch; Galentine’s Bestie Brunch,repeated branded name,215,36
sokobarandgrill,Southern Komfort,STEAK & SEAFOOD THURSDAYS; CLASSIC SATURDAYS DAY PARTY; Steak & Seafood Thursdays; Happy Hour; DJ set with DJ Mister Cee & DJ 2GS,"day-of-week plural, repeated branded name",213,10
cultureandsoulprod,Culture & Soul Productions,WORDS UNLEASHED OPEN MIC; WORDS UNLEASHED; THE FLO JAM; Words Unleashed; Social Media Intern Position,repeated branded name,213,17
thesplendidrooftop,The Splendid Rooftop Bar,Thanksgiving Eve Party; The Splendid Rooftop Event; Thanksgiving Eve; What's Going On in DECEMBER; Winter Warmers,repeated branded name,213,20
allwhiteblanche,Blanche,Afrofuture x PVO All White Party; AFROFUTURE X PVO ALL WHITE PARTY; Blanche; All White Party; MARTELL AFROFUTURE X PVO ALL WHITE PARTY,repeated branded name,212,14
sauceitup_ent,Sauceitup Entertainment events,NETFLIX CHILL; FOP 6 SHOTS; THOR HEKERES; HULK; SHO+S YOU SHOULD HRY,repeated branded name,212,2
nknx,NKNX,DANCE DANCE DANCE; DJing for Arcteryx at Big Snow; Dance Dance Dance; Thanksgiving Eve with @blvck_truffle @dele.music featuring @thesoundofeco; Thanksgiving Eve event,repeated branded name,211,10
vaultnightlife,Vault Sundays,GIRLS LOVE THURSDAYS; KARAOKE WEDNESDAYS; RNB FRIDAYS; VAULT SUNDAYS; RNB JERSEY FRIDAYS,"day-of-week plural, recurrence keyword, repeated branded name",210,33
thealiperez,Ali💫,Clover Friendsgiving; Clover Fest 2026; Blackout Saturdays; De Sueña a; Chicks on Caro,"day-of-week plural, repeated branded name",210,8
makejerseyhouseagain,MAKE JERSEY HOUSE AGAIN,MAKE JERSEY HOUSE AGAIN; HOUSE FOR THE HOLIDAYS; Winter Wonderland Boogie; BAR-DA BING,repeated branded name,210,24
djdramos,Dramos 🇵🇷🗽,Dramos,repeated branded name,208,17
djmrfamousnyc,Omar Robinson,Mr. & Mrs. Marin Wedding; Grand Opening; Mr & Mrs Costa Day Wedding; DJ MR FAMOUS at El Carwash Grand Opening; Prayer for 2026,repeated branded name,207,23
smwheresocial,Somewhere Social,FORBIDDEN FRUIT; SOUNDS OF AFRICA; CINCO DE SOCIAL; SOUNDS OF AFRICA SEASON KICKOFF; Taking a break,"recurrence keyword, repeated branded name",206,39
newarksymphonyhall,Newark Symphony Hall,A Merry CQ Christmas; Soul Line Dancing; Sing in Praise; Orchestra Noir; 1st Stage Salon,repeated branded name,206,12
asiantrailmix,Asian Trail Mix,Asian Trail Mix event; Asian Trail Mix Run; Asian Trail Mix Track Meet; Track Workout; Lunch & Draw art drive to support @heartofdinner,repeated branded name,203,23
djtmarq,DJ T Marq,Guilty Pleasure Party; Guilty Pleasure Party event; RnB and Ribs; Guilty Pleasure Party in Florida; Private pre-opening event for Albatross New Jersey,repeated branded name,202,14
djvez,DJ Vez,25 Years of Millennium Skate World Anniversary; Tuesday Nights at The Rink; Tuesday Nights; First Wednesday Adult Skate Night; A Night of Versatility,"recurrence keyword, repeated branded name",200,9
joemikemarkz,Joe Markes,NEWARK HAS COMEDY; COMEDY NIGHT (EVERY 1ST WEDNESDAY); NEWARK HAS COMEDY - EVERY 1ST WEDNESDAY; Brick City Comedy Revue; Live Comedy,"recurrence keyword, repeated branded name",199,18
labraiseafricangrill,La Braise African Grill - Springfield,Christmas at La Braise; Meet me at La Braise!; Lunch; Dinner; Festive Season - Enjoy Good Food and Warm Moments,"recurrence keyword, repeated branded name",198,7
kocafejc,Kọ Cafe,"Art and Community Celebration; Samosas; November Office Hours; Career coach: Job Search Strategy, Up-skilling Strategy, Networking, Resume & Interview prep; Real Estate: Investing, House Hacking, 1st Timers, Development",repeated branded name,198,11
cloverfestlive,Clover Fest 🍀,CLOVER FEST 2026; CLOVER FEST; Cloverfest 2026; Clover Fest 2026; Presale,repeated branded name,197,27
none_like_mine,None Like Mine Events,NONE LIKE MINE PUERTO RICO; ACROSS THE BORDER SHOWDOWN; Friday Night Live; None Like Mine Puerto Rico Event; None Like Mine Puerto Rico,repeated branded name,197,30
vmt_events,,Crafts & Carafes; WRECK THE HALLS; DISCO RODEO NEW YEAR'S EVE PARTY; DISCO RODEO NYE; Friendsgiving karaoke + food drive,repeated branded name,196,8
blackwomentalktech,Black Women Talk Tech,WEEKLY DISCUSSION: TECH BUSINESS & HIRING; Black Friday Ad Bundle; BWTT AD Bundle Offer; BWTT AD Bundle Deal; HBCUFI Spring 2026 Pre-Accelerator Informational Session,"recurrence keyword, repeated branded name",196,34
thecainmarko,THECAINMARKO Kyle Royce Haynes,Streets of Cain; DJ set by THECAINMARKO; DJ Set; #ShipsetHappyHour; Guest appearance on @scratchnyc radio show,repeated branded name,196,2
short_stay_studio,Short Stay Studios,Sing & Sip karaoke night; Beats for a Cause Clothing Drive & Beat Show; Sing & Sip Karaoke Night; Beats for a Cause Beatshow & Clothing Drive; Opening Night at the Short Stay Clubhouse & Birthday Celebration for Mitch & Malcolm,repeated branded name,195,19
iamdmuse,Art Marketing | Art Event Consultant,HARLEM FINE ARTS SHOW; Pigmented Fine Art Fair; Umbrella Art Fair VIP Reception; Winter Soiree; Informational Session,repeated branded name,195,11
jamaicanmedancehallnight,Jamaican Me Dancehall Night,JAMAICAN ME DANCEHALL NIGHT; Jamaican Me Dancehall Night,repeated branded name,195,5
c.e.o.entt,,LA PLACITA FRIDAYS; SECRET SATURDAYS; Thanksgiving Eve Sagittarius Affair; Watch Party; TGE BIG SAGITTARIUS Affair,"day-of-week plural, repeated branded name",193,13
beloved1___,Habiyb حبيب,Trenton Photo Walk: Through the Lens Photo Submission; Trenton Through The Lens Photo Contest Winner Announcement; Trenton Through the Lens Photo Contest; Trenton Through the Lens Photo Art Walk; Trenton Through The Lens Photo Walk,repeated branded name,190,7
prettygirls.nj,Real K’s Of NJ,PDF COOKOUT; Pretty Devastatingly Finer Brunch; PDF Cookout; Pretty Girl Cookout,repeated branded name,190,3
caribbrew,Caribbrew,Caribbrew Opening Hours; Free Shipping with code TRACEEAPPROVED; BLK Friday special; Black Friday Deal,repeated branded name,190,7
nelsondepas,Nelson DePasquale,DEATH DO US PART; DEATH KNIGHT Film Premiere; Ripper: London’s Secret (feature film); Ripper: London’s Secret; HalloweenEvent,repeated branded name,190,16
ninety9bar,Ninety9 Bar & Lounge,SANTA PERREO CHRISTMAS EDITION; DISTRITO; PERREO VS DEMBOW CHRISTMAS EDITION; WELCOME 2026 PARTY; New Years Eve 2026,"day-of-week plural, repeated branded name",188,18
alignwithkemly,"🇭🇹 Kemly- Spiritual Health, Pilates, Nutrition",Pilates in Pink; Pilates & Lattes,repeated branded name,186,8
eborobandits,E Boro Bandits,Belmar-Lake Como Parade Day Fundraiser; Dirty Burst; Open Mic; Country Night with Line Dance Instruction; @belmarparade Fundraiser,repeated branded name,184,17
youngveeto,Veeto Williams,RNB SUNDAYS AT LEVELZ; 3.2.1 THURSDAYS; CLOUD 9 SUNDAYS GRAND OPENING; CLOUD 9 SUNDAYS; GOOD COMPANY THURSDAYS - GRAND OPENING,"day-of-week plural, repeated branded name",182,22
lovelifedigitalmedia,Biggs,You wanted me first! Album Release; Birthday Photoshoot; Birthday photoshoot; R&B event; Black Hollywood Gala,repeated branded name,182,5
djpatlax,,PAT LAX DAY; MIAMI ART BASEL w/ @revolt; REVOLT Art Fair House Party; REVOLT ART FAIR; DJ Tunez Blackout,repeated branded name,182,4
djkenz_,"DJ Kenz | NY & NJ DJ | Afrobeat, Hip-Hop & Dancehall Specialist",RNB FRIDAYS AT THE VAULT LOUNGE; BIG FISH PISCES BASH ‘ 26; Big Fish Pisces Birthday Bash; Ruger performance; Best of Afrobeats & Amapiano 2025 Mix,"day-of-week plural, repeated branded name",181,16
djmpure,DJ MPURE,DJ MPURE THE LET OUT; DJ MPURE Taking Over Grind 101 Miami; The Let Out; NYE; New Years Day Party Brunch,"day-of-week plural, repeated branded name",181,8
candlelight.concerts,Candlelight Concerts by Fever,CANDLELIGHT CONCERTS - VALENTINE'S SEASON; Candlelight Concert; Candlelight Concerts; Candlelight Experience; Pick a venue for your proposal,"recurrence keyword, repeated branded name",181,19
eocityhall,East Orange City Hall,Stop the Violence Unity Rally; UNITY RALLY,repeated branded name,180,2
jamnskate,JAM N SKATE ARTS FEST,JAM N SKATE ARTS FEST,repeated branded name,180,14
worldcupcornernj,World Cup Corner New Jersey,FIFA World Cup Final Draw; FIFA World Cup Host Cities; FIFA World Cup; FIFA World Cup Group Games; FIFA World Cup Knockout Games,repeated branded name,178,3
southjersey.carmeets,South Jersey Car Meets,UNBOUND SEASON OPENER CARS & COFFEE; SOUTH JERSEY CAR MEETS SEASON OPENER; GRASSBOOTS SEASON OPENER; CARS & COFFEE CRUISE NIGHTS; Toys for Tots Toy Drive & Car Show,"recurrence keyword, repeated branded name",177,45
thejerseyredz,Jersey Redz🐥,JERSEY REDZ COOKOWT; PDF TAKEOVER Cookout; PDF Cookout; Jersey Redz Cookowt,repeated branded name,176,2
vibesafterdark,VIBES AFTER DARK,Something Small but Special featuring Homegrown Brands with Worldwide Appeal - Day Market; @iambyhaze film and album release party; Small Business Saturday POP-UP; iambyhaze film and album release party; Dine & Vibes,repeated branded name,176,4
njparenting,NJParenting.com,Books On The Move & Jazz In The Stacks,repeated branded name,174,2
djbishopcnj,Bishop♗,WEEKLY FRIDAY NIGHT AT JAMA GRILLE; DJ BISHOP FRIDAYS; PRIVATE EVENT; WEDDING; PARTY NIGHT,"day-of-week plural, recurrence keyword, repeated branded name",174,18
jerseymovecamp,JERSEY MOVEMENT CAMP ™,MARCH WORKSHOP SERIES - JERSEY MOVEMENT CAMP; JERSEY CLUB; Jersey Club,"recurrence keyword, repeated branded name",173,33
shawnputyouon,SHAWN | NJ + Philly Foodie,Taco Tuesday; $1 Wings Wednesday; Bougie Burger Thursday; Karaoke; Brunch,repeated branded name,173,3
blackoysterco,Black Oyster Cocktail Company,LADIES NIGHT; $5 CRAB LEG TUESDAYS; Monday Night Football; Closed for New Year's Day; Regular Business Hours Resume,"day-of-week plural, repeated branded name",173,17
jcnightmarket,Jersey City Night Market,RAVE AT THE LIBRARY; Rave at the Library; Y2K Throwbacks & Adult Scholastic Book Fair; VIP Rave in the EDM/House Room; HARRY Potter Trivia & More in the 201 Social Lounge,repeated branded name,172,4
parisfenty8,Paris Fenty 🇦🇴 🇺🇸,Season 5 Reunion; Paris Fashion Week; Temptation Island episode,"recurrence keyword, repeated branded name",170,10
stompandstride,Stomp and Stride Entertainment,Stomp and Stride Entertainment at Beach Haus Brewery; Beginner Lessons and Open Dance; Stomp and Stride Entertainment at River Rock Restaurant & Marina Bar; Stomp and Stride Entertainment at New Kelly's Bar n Banquet Hall,repeated branded name,170,2
nbanupes,NBA Nupes,"Kome Home Reclamation; Kappa Alpha Psi Fraternity Founding Anniversary; Happy Birthday Brother Genciano ""Vito"" Clotter; 115th Founders Day; Kappa Alpha Psi Fraternity, Inc. Founders' Day",repeated branded name,169,36
houstoncreatorsmarket,“HOUSTON CREATORS MARKET” ★ Community Events,HOUSTON CREATORS MARKET; Houston Creators Market 1 Year Anniversary Indoor+Outdoor Birthday Festival; Houston Creators Market Anniversary Event; Vendor Application Deadline; Houston Creators Market 1YR Anniversary Fit Festival,repeated branded name,168,21
rashadbilal,Rashad Bilal,EYL sit-down with Vlad Tenev; Market Mondays; Black Out,"day-of-week plural, repeated branded name",168,3
pryclss,PRYCLSS,Fatherhood Support Group; I AM PRYCLSS (JEGNA) & MUNSTERPRENEUR INITIATIVE 12-Week Intergenerational Fatherhood Support Group & Workshops,repeated branded name,168,3
_kimu,DJ KimU,LADIES LOVE BRUNCH; GIRL DINNER THURSDAYS; Soup Trivia Giveaway; @njsoup153 birthday celebration; @njsoup153 Birthday Celebration,"day-of-week plural, repeated branded name",167,16
afrobeatstotheworld,AFROBEATS TO THE WORLD,AFROBEATS TO THE WORLD; AFROBEATS TO THE WORLD - MINNEAPOLIS; AFROBEATS TO THE WORLD - COLUMBUS; AFROBEATS TO THE WORLD - CHICAGO; AFROBEATS TO THE WORLD - DETROIT,repeated branded name,167,43
notarize_with_norm,"Norman I. Graham, NJ/NYC Award Winning Mobile Notary",Meet & Sign; Bold Journey Interview; French; Christmas Holiday; Translation Services,repeated branded name,166,15
insightxrun,INSIGHT RUN CLUB,WEEKLY GROUP RUN; Weekly Group Run; After Run Party; 5K FUN RUN/WALK; AFTER RUN PARTY,"recurrence keyword, repeated branded name",166,9
wearegardenboys,The Garden Boys🪴,ART OF CONNECTION GALA; Two Year Anniversary Celebration; Quarter Sips; Garden Boys Two Year Anniversary; Vendor Event,repeated branded name,165,14
